,N,Bx,By,Bz,Ex,Ey,Ez
3591,1000000,3.65E-14,2.44E-13,1.37E-10,-4859.332118,3627.227339,-195471.9673
3592,1000000,-7.75E-14,-3.43E-13,1.36E-10,-96.6674086,-8751.45163,-190062.4871
3593,1000000,4.00E-14,-8.44E-14,1.37E-10,-606.5335548,9756.50078,-193168.2621
3594,1000000,-1.32E-13,2.08E-13,1.37E-10,-5151.989391,1483.154506,-195452.3147
3595,1000000,-3.60E-13,3.20E-13,1.37E-10,-9551.198376,7746.190044,-195368.0153
3596,1000000,-2.39E-13,-2.89E-13,1.36E-10,-4765.387949,-4599.28923,-191406.0929
3597,1000000,-4.25E-13,1.24E-13,1.34E-10,-5466.493504,3744.384315,-188721.7175
3598,1000000,4.87E-13,-6.53E-14,1.37E-10,7475.066537,3175.551743,-196573.6614
3599,1000000,5.16E-13,-2.55E-13,1.38E-10,10194.81808,-4527.609932,-199934.8259
3600,1000000,1.60E-13,-7.40E-13,1.36E-10,1029.728386,-14455.96287,-192646.8823
3601,1000000,-3.35E-14,4.37E-14,1.37E-10,882.906241,-7575.651742,-194364.4842
3602,1000000,-1.33E-13,6.99E-14,1.36E-10,-5546.522253,-7664.671195,-194353.5858
3603,1000000,3.36E-13,1.66E-13,1.37E-10,11533.68691,-2648.34661,-195119.6728
3604,1000000,1.13E-13,2.05E-13,1.36E-10,7423.604528,4369.901187,-193768.2748
3605,1000000,-2.35E-13,2.75E-13,1.36E-10,-2736.123151,6220.141214,-194584.2111
3606,1000000,6.42E-14,-2.07E-13,1.35E-10,-5175.097083,-4854.394851,-192159.1112
3607,1000000,1.43E-13,-2.18E-14,1.38E-10,-1048.038021,-5766.246346,-199335.4526
3608,1000000,1.16E-13,-6.36E-14,1.36E-10,-2111.467064,2639.793618,-191281.5203
3609,1000000,-5.57E-13,4.49E-14,1.35E-10,-2176.583959,-3036.354358,-193133.4811
3610,1000000,5.25E-13,-5.49E-13,1.37E-10,18558.85873,-7800.663893,-198385.0982
3611,1000000,2.51E-13,-1.48E-13,1.36E-10,11703.61869,-1027.659695,-190987.1614
3612,1000000,1.58E-13,4.62E-13,1.37E-10,10401.8076,12205.40665,-195232.5565
3613,1000000,4.20E-13,1.36E-13,1.38E-10,4386.006769,5180.803377,-192591.8121
