Parameters:
box_length	1185.43
n_particles	150
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
2.10734,5.48811e-14,406.532,703.505,691.67,125.758,-81.1475,-17.6467,56,0,18101,-18045
2.0592,5.12053e-14,1148.9,834.568,832.915,-19.6651,363.882,-113.896,53,0,22760,-22707
2.67297,1.11995e-13,837.426,1077.58,876.889,29.7689,-19.8718,-179.813,90,0,12498,-12408
2.31122,7.24001e-14,881.857,759.29,1002.74,106.271,226.301,-26.7719,67,0,16673,-16606
2.5359,9.56346e-14,697.423,606.185,920.836,-114.722,78.0902,-63.4338,81,0,13047,-12966
3.10796,1.76053e-13,6.04626,547.481,719.852,110.828,-133.26,-43.1601,121,0,10600,-10479
4.14598,4.17925e-13,731.211,253.315,663.605,13.5405,-25.4121,53.2032,216,0,7501,-7285
5.38099,9.13699e-13,565.558,1115.58,285.034,-7.79707,-32.3753,26.1235,364,0,5140,-4776
7.42757,2.40301e-12,287.207,922.826,667.651,0.865553,-4.16352,-16.5641,693,0,3326,-2633
7.99549,2.99745e-12,935.07,912.735,820.478,-12.5507,36.7845,-22.6635,803,0,2992,-2189
5.65886,1.06268e-12,1001.54,73.2383,920.153,-27.4415,10.2841,24.1438,402,0,4300,-3898
6.50741,1.616e-12,127.601,133.198,55.6016,-32.2352,45.3728,64.9822,532,0,3413,-2881
6.48501,1.59937e-12,665.77,895.383,63.8316,-53.2712,9.61511,12.9802,528,0,3403,-2875
7.13743,2.13227e-12,584.696,482.73,704.75,-10.6505,-18.0417,-52.7561,640,0,3996,-3356
7.94931,2.94581e-12,500.126,1155.7,1094.78,24.4845,-14.5061,9.74485,794,0,3280,-2486
7.52879,2.50261e-12,668.7,236.061,415.363,-9.11617,-0.273741,16.2621,712,0,3111,-2399
4.22587,4.42554e-13,33.656,957.089,925.062,-136.908,39.3187,69.0174,224,0,8488,-8264
6.93504,1.95598e-12,533.414,289.771,1070.57,31.5376,1.66604,-46.0613,604,0,3748,-3144
5.17757,8.13946e-13,138.554,348.368,207.692,25.65,-25.0641,28.1848,337,0,5751,-5414
8.98918,4.25968e-12,607.585,139.831,657.463,1.40089,33.7645,-11.2857,1015,0,2831,-1816
8.35443,3.41954e-12,1050.92,41.1736,435.532,44.6689,-25.3751,0.237567,877,0,3219,-2342
11.7695,9.56064e-12,711.423,143.733,816.954,2.45455,19.5587,-8.52166,1741,0,1803,-62
8.66018,3.80888e-12,163.267,1076.01,228.856,19.3461,-24.4121,1.33241,942,0,2858,-1916
13.4389,1.42334e-11,703.25,453.954,178.248,-0.335026,1.86248,-1.34814,2270,0,1752,518
10.1237,6.08467e-12,350.999,423.998,796.289,-8.46259,7.33977,-2.13231,1288,0,2547,-1259
12.1739,1.05805e-11,890.799,1076.72,551.987,3.75364,-3.83417,-12.6768,1862,0,1768,94
14.5951,1.82321e-11,335.917,194.362,165.728,-16.2899,9.40948,-16.1984,2677,0,1582,1095
14.1364,1.65668e-11,827.474,946.2,1006.26,-0.0447237,4.25564,4.32664,2511,0,1691,820
20.9581,5.39849e-11,238.831,270.146,1079.32,4.21038,5.36648,3.9327,5520,0,1087,4433
19.7381,4.50952e-11,632.257,618.689,356.362,1.36899,3.95702,-1.03382,4896,0,1255,3641
26.5267,1.09463e-10,94.6573,371.111,271.756,4.40607,-8.10576,0.943582,8843,0,837,8006
17.6751,3.23821e-11,687.964,291.392,620.201,6.95595,-1.86294,10.5074,3926,0,1144,2782
23.7254,7.83175e-11,759.807,97.1314,742.524,3.84881,-1.38198,0.735207,7074,0,989,6085
21.7193,6.00832e-11,145.721,200.526,1103.29,-3.82447,8.50804,-1.72014,5928,0,950,4978
29.2932,1.47406e-10,95.2303,759.5,222.538,1.63822,-4.0987,-0.678203,10783,0,772,10011
26.6467,1.10955e-10,31.8168,825.628,692.226,-12.0482,-9.20662,-2.01158,8923,0,883,8040
49.1758,6.97381e-10,1084.01,915.792,1104.49,1.16181,2.27307,-1.83457,30389,0,685,29704
50.0964,7.37289e-10,548.016,424.597,836.524,2.10059,4.25358,0.803389,31537,0,643,30894
59.4712,1.23349e-09,541.89,526.715,202.911,1.58049,-0.905718,0.227617,44445,0,669,43776
49.2776,7.01722e-10,290.496,222.07,472.219,-2.2731,1.80216,-0.471438,30515,0,689,29826
38.2701,3.28697e-10,471.208,196.075,358.405,-0.144347,-1.10311,-1.76307,18405,0,724,17681
31.6236,1.8546e-10,570.104,379.622,1097.04,-5.18426,0.897298,-4.33465,12567,0,849,11718
37.8993,3.19235e-10,547.155,945.458,524.97,-0.772427,-3.76474,-3.60074,18050,0,779,17271
41.8846,4.30902e-10,279.259,753.786,1012.64,0.61039,-0.806991,1.28899,22045,0,618,21427
54.0961,9.28356e-10,271.764,783.124,703.648,-0.64195,-0.375024,2.60192,36774,0,690,36084
59.9698,1.26478e-09,1088.12,551.855,258.635,-0.320926,0.555702,0.815913,45193,0,802,44391
44.6166,5.20841e-10,357.684,824.354,76.6131,0.864214,1.87206,0.17478,25015,0,689,24326
45.8972,5.66989e-10,130.441,880.031,813.262,-2.26268,-2.24823,0.290595,26472,0,710,25762
48.5531,6.71225e-10,552.265,898.036,270.097,-0.474072,-0.5492,-1.50055,29624,0,643,28981
54.5516,9.52002e-10,331.163,841.243,396.137,-0.0338739,2.16563,0.0990255,37396,0,685,36711
38.8902,3.44935e-10,766.055,1114.37,886.06,-5.54997,0.354525,-2.2359,19006,0,781,18225
55.3296,9.93322e-10,356.188,335.412,865.931,-0.170694,1.06425,2.19277,38470,0,690,37780
61.8477,1.38735e-09,777.583,192.557,104.391,1.39608,0.369391,-0.147123,48068,0,754,47314
62.2253,1.41292e-09,484.586,315.587,613.353,-1.18622,0.376065,-0.34112,48657,0,708,47949
32.5472,2.0219e-10,150.887,809.481,253.345,4.63269,1.21759,-3.68457,13312,0,840,12472
31.5917,1.84899e-10,92.1619,233.101,976.457,3.38753,-1.39557,2.30778,12542,0,843,11699
74.015,2.37781e-09,1010.18,227.303,82.4237,-0.94509,-0.0338237,-0.0324921,68841,0,833,68008
81.6919,3.19708e-09,665.836,721.651,257.977,-0.282329,0.910572,1.08867,83863,0,876,82987
72.4469,2.22985e-09,171.353,1077.58,554.22,1.07305,-0.096164,0.42542,65955,0,807,65148
111.302,8.0858e-09,1062.36,255.36,691.462,-0.103364,-0.204358,-0.15625,155673,0,1351,154322
85.9115,3.71852e-09,855.079,324.08,287.22,0.535686,-0.672664,-0.486777,92750,0,955,91795
118.347,9.72042e-09,853.453,489.049,143.604,-0.288656,-0.584304,-0.478595,176004,0,1405,174599
109.582,7.71672e-09,268.537,494.457,851.137,-0.00360018,0.351994,0.958169,150899,0,1269,149630
108.627,7.51681e-09,640.175,1056.45,980.146,0.221024,-0.109903,0.0577587,148282,0,1238,147044
112.689,8.39201e-09,736.276,305.188,1021.01,0.0433219,0.167472,-0.637118,159579,0,1281,158298
122.38,1.07484e-08,686.988,770.495,971.078,0.3667,-0.123767,-0.596179,188203,0,1475,186728
116.583,9.29218e-09,283.588,1056.6,1026.41,-0.536434,0.564533,-1.03238,170796,0,1393,169403
86.0828,3.74082e-09,896.436,730.808,124.155,0.695891,0.133488,0.664704,93120,0,981,92139
81.1053,3.12871e-09,530.622,862.448,435.955,0.672874,0.539559,0.269686,82663,0,890,81773
115.226,8.97145e-09,535.149,284.628,249.021,0.177287,0.0943807,-0.175862,166843,0,1266,165577
78.2362,2.80828e-09,354.813,188.301,284.481,-0.418383,-0.76781,-1.70025,76918,0,868,76050
81.7265,3.20114e-09,297.601,333.752,1006.49,0.104157,0.171887,1.3608,83934,0,894,83040
93.801,4.83994e-09,278.724,702.788,116.293,0.956882,-0.67626,-0.59579,110567,0,1029,109538
82.6993,3.31682e-09,227.325,952.429,438.78,-0.620343,-0.607918,0.38573,85944,0,951,84993
90.278,4.31482e-09,635.83,129.926,896.538,0.0230262,0.170366,-0.76361,102417,0,999,101418
117.487,9.51005e-09,683.272,157.9,528.659,-0.309835,-0.438976,-0.0127399,173455,0,1456,171999
116.406,9.24999e-09,1037.07,621.408,998.561,0.124577,0.72769,-0.555948,170278,0,1339,168939
103.885,6.57471e-09,106.137,735.053,1016.86,-0.637891,0.162436,-0.449522,135618,0,1147,134471
107.54,7.2934e-09,205.728,625.148,461.056,0.121789,-0.101664,-0.351729,145329,0,1240,144089
67.7514,1.82378e-09,636.2,402.827,719.532,-0.29453,-1.47575,-0.643702,57683,0,781,56902
68.6602,1.89815e-09,869.087,996.209,790.351,0.0857704,0.325565,-1.5724,59241,0,761,58480
86.3111,3.77065e-09,174.647,216.132,186.539,-0.342391,0.0353508,-0.250309,93614,0,1009,92605
65.8347,1.67333e-09,470.007,284.659,898.891,1.14089,0.300531,0.0217844,54465,0,811,53654
70.5293,2.05743e-09,1062.42,350.57,205.024,0.300138,0.45551,0.421051,62510,0,725,61785
66.4978,1.7244e-09,604.221,964.581,773.613,-1.14739,-0.412067,0.778319,55568,0,729,54839
104.184,6.63162e-09,321.364,426.21,176.408,-0.528854,-1.30549,-0.141487,136399,0,1142,135257
81.517,3.17659e-09,214.573,1012.4,725.514,-0.955203,0.353304,0.150055,83504,0,957,82547
158.636,2.34111e-08,195.48,169.075,807.849,-0.307341,-0.0464881,0.4665,316237,0,1983,314254
190.735,4.06916e-08,801.579,989.418,274.543,0.473172,0.0920317,-0.272961,457161,0,2858,454303
227.814,6.93362e-08,930.934,622.475,552.459,-0.115254,-0.217317,-0.204032,652187,0,3910,648277
