Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
1.83551,3.62647e-14,1323.9,13.2896,607.763,230.929,41.4894,-109.283,64,0,27764,-27700
1.26095,1.17574e-14,1351.63,177.268,852.519,2.42147,-50.8498,354.596,30,0,54817,-54787
1.51639,2.0448e-14,1006.92,410.577,1311.89,-120.169,-411.1,559.562,43,0,40567,-40524
1.92308,4.1707e-14,1065.84,807.235,1011.24,-127.31,-37.5828,-476.965,70,0,25228,-25158
1.01815,6.18952e-15,1107.32,1361.03,930.279,-340.215,-491.213,-796.621,20,0,72214,-72194
1.90152,4.03197e-14,1046.78,1341.41,32.3473,148.018,-149.078,-66.5798,68,0,28103,-28035
1.62448,2.51395e-14,156.533,6.32305,227.428,-255.74,-9.32709,127.059,50,0,33636,-33586
1.70611,2.91229e-14,148.96,1332.18,1156.26,-502.411,41.946,-507.078,55,0,33516,-33461
1.46517,1.84449e-14,249.732,985.403,528.512,129.105,231.648,315.043,40,0,46622,-46582
1.74795,3.13186e-14,652.021,1308.26,930.711,119.107,-223.352,-329.279,58,0,28808,-28750
1.57434,2.28829e-14,161.113,1271.11,1345.14,641.9,-71.7064,228.944,47,0,42083,-42036
1.65866,2.67603e-14,652.352,504.631,1326.5,10.5804,-127.548,194.22,52,0,33542,-33490
1.8414,3.66154e-14,191.515,1373,346.044,35.5206,273.953,199.317,64,0,27642,-27578
1.89833,4.01171e-14,835.764,685.564,660.161,4.17739,-1.9144,471.737,68,0,29307,-29239
1.6614,2.68932e-14,1399.09,513.598,501.779,-72.0594,250.238,-90.4751,52,0,30419,-30367
1.91486,4.11742e-14,426.786,833.998,223.682,-551.738,-111.066,-13.2227,69,0,30594,-30525
1.62229,2.50379e-14,238.426,141.735,258.972,314.622,-28.9866,25.1592,50,0,33519,-33469
1.05454,6.87704e-15,962.227,170.927,523.235,-300.817,768.522,-437.155,21,0,67208,-67187
1.64645,2.61734e-14,564.455,595.092,751.779,-712.002,369.641,-63.9211,51,0,32169,-32118
2.39473,8.05357e-14,314.98,1407.24,684.522,-183.834,-52.4406,293.054,108,0,21463,-21355
2.89313,1.42011e-13,1416.27,810.789,323.239,156.905,81.3549,90.9714,158,0,15118,-14960
3.33118,2.16775e-13,1247.3,543.069,1359.43,-19.7544,42.4268,116.762,209,0,12181,-11972
3.18286,1.89091e-13,813.116,1116.66,1311.84,99.5094,165.714,-55.204,191,0,12956,-12765
3.42695,2.36016e-13,861.887,71.7043,834.813,-47.0309,-32.9189,144.315,221,0,12396,-12175
3.07489,1.70493e-13,343.402,857.962,638.754,-47.7737,-122.933,81.9139,178,0,12844,-12666
3.34874,2.20222e-13,475.713,712.136,393.639,79.2262,61.5621,22.4035,211,0,10360,-10149
3.24312,2.00034e-13,434.099,591.011,30.5684,-130.227,-208.151,-172.897,198,0,10994,-10796
3.02524,1.62366e-13,623.782,763.286,1047.44,67.6704,-86.6714,-129.059,173,0,14713,-14540
3.0556,1.67304e-13,1378.12,1020.22,1058.85,-56.8163,156.717,158.627,176,0,12074,-11898
